,index,city,population
466,9623,Duncanville,38751.0
467,9625,Dundee,148280.0
468,9628,Dunedin,99885.0
469,9630,Dunfermline,53100.0
470,9654,Durango,654876.0
471,9662,Durham,424700.0
472,9731,Düsseldorf,645923.0
473,9755,Eagan,66372.0
474,9757,Eagle,29796.0
475,9775,East Brunswick,47819.0
476,9778,East Chicago,27817.0
477,9797,East Greenbush,16352.0
478,9802,East Hampton,21952.0
479,9803,East Hanover,11072.0
480,9804,East Hartford,50272.0
481,9818,East Lansing,48145.0
482,9820,East Liverpool,29898.0
483,9830,East Moline,20645.0
484,9846,East Providence,47618.0
485,9860,East Stroudsburg,57577.0
486,9865,East Windsor,27245.0
487,9871,Easthampton,15829.0
488,9876,Easton,27189.0
489,9884,Eatontown,12157.0
490,9885,Eau Claire,107404.0
491,9942,Eden Prairie,64893.0
492,9951,Edina,52857.0
493,9954,Edinburgh,488050.0
494,9960,Edison,100447.0
495,9962,Edmond,94054.0
496,9963,Edmonds,42605.0
497,9964,Edmonton,1062643.0
498,9969,Edson,8414.0
499,9980,Effingham,14005.0
500,10020,Eindhoven,231642.0
501,10074,El Dorado,17706.0
502,10117,El Monte,115487.0
503,10125,El Paso,843386.0
504,10194,Elgin,110849.0
505,10204,Elizabeth,129216.0
506,10207,Elizabethtown,78002.0
507,10214,Elkhart,147567.0
508,10218,Elko,21179.0
509,10219,Elkridge,21458.0
510,10220,Elkton,15622.0
511,10223,Ellensburg,24377.0
512,10230,Ellicott City,72665.0
513,10242,Elmhurst,46746.0
514,10243,Elmira,62989.0
515,10248,Elmwood Park,24098.0
516,10270,Elyria,53757.0
517,10289,Emeryville,12086.0
518,10303,Emporia,24598.0
519,10325,Enfield,44143.0
520,10339,Englewood,34917.0
521,10416,Erie,184484.0
522,10423,Erlanger,19246.0
523,10458,Esbjerg,72205.0
524,10465,Escanaba,20094.0
525,10475,Escondido,151625.0
526,10498,Española,25952.0
527,10517,Espoo,269802.0
528,10529,Essen,582415.0
529,10531,Essex,39437.0
530,10554,Estero,33871.0
531,10557,Estevan,11258.0
532,10588,Euclid,46550.0
533,10591,Eufaula,11709.0
534,10593,Eugene,273439.0
535,10601,Eureka,44236.0
536,10609,Evanston,73473.0
537,10610,Evansville,230427.0
538,10614,Everett,111475.0
539,10626,Ewing,36037.0
540,10629,Exeter,124180.0
541,10632,Exton,5382.0
542,10674,Fair Lawn,32896.0
543,10678,Fairbanks,63245.0
544,10681,Fairfax,24019.0
545,10682,Fairfax Station,12046.0
546,10683,Fairfield,148683.0
547,10703,Falcon Heights,5528.0
548,10710,Fall River,89541.0
549,10712,Fallon,16313.0
550,10714,Falls Church,14617.0
551,10717,Falmouth,31124.0
552,10745,Fargo,208675.0
553,10748,Faribault,24250.0
554,10755,Farmington,51309.0
555,10756,Farmington Hills,80612.0
556,10794,Fayetteville,351246.0
557,10935,Findlay,48469.0
558,10958,Fishers,95310.0
559,10965,Fitchburg,40638.0
560,10976,Flagstaff,81974.0
561,10998,Flint,332190.0
562,11007,Florence,380948.0
563,11023,Florham Park,11496.0
564,11027,Florida,71676.0
565,11043,Flowood,9380.0
566,11067,Folsom,81328.0
567,11102,Fords,15250.0
568,11108,Forest Hill,12988.0
569,11111,Forest Park,20020.0
570,11144,Fort Belvoir,7967.0
571,11146,Fort Bragg,10374.0
572,11149,Fort Collins,312666.0
573,11159,Fort Knox,8695.0
574,11160,Fort Lauderdale,182437.0
575,11161,Fort Lee,38605.0
576,11167,Fort Meade,10873.0
577,11172,Fort Myers,87103.0
578,11177,Fort Pierce,46103.0
579,11179,Fort Plain,5488.0
580,11183,Fort Rucker,5311.0
581,11188,Fort Smith,125354.0
582,11189,Fort St. John,20155.0
583,11194,Fort Walton Beach,22521.0
584,11195,Fort Washington,24237.0
585,11196,Fort Wayne,334122.0
586,11199,Fort Worth,909585.0
587,11220,Foster City,33901.0
588,11229,Fountain,30735.0
589,11232,Fountain Valley,55357.0
590,11253,Framingham,74416.0
591,11278,Frankfort,38852.0
592,11280,Frankfurt,764104.0
593,11283,Franklin,83097.0
594,11286,Franklin Lakes,11119.0
595,11293,Fraser,14480.0
596,11307,Frederick,156787.0
597,11308,Fredericksburg,168909.0
598,11311,Fredericton,58220.0
599,11313,Fredonia,20997.0
600,11317,Freeport,42956.0
601,11319,Freetown,951000.0
602,11336,Fremont,241110.0
603,11346,Fresno,703498.0
604,11360,Friedrichsdorf,25194.0
605,11370,Frisco,200490.0
606,11458,Fullerton,138632.0
607,11462,Fulton,12596.0
608,11522,Fürth,127748.0
609,11547,Gadsden,60944.0
610,11569,Gainesville,202335.0
611,11571,Gaithersburg,67985.0
612,11583,Galax,6347.0
613,11599,Gallatin,42918.0
614,11617,Galveston,50446.0
615,11618,Galway,79504.0
616,11701,Garden City,29659.0
617,11703,Garden Grove,171644.0
618,11708,Gardiner,5653.0
619,11709,Gardner,22031.0
620,11722,Garland,239928.0
621,11727,Garner,31407.0
622,11763,Gatesville,12401.0
623,11765,Gatineau,276245.0
624,11811,Geelong,184182.0
625,11872,Geneva,201818.0
626,11881,Gent,262219.0
627,11893,Georgetown,200500.0
628,11911,Germantown,90582.0
629,11957,Ghent,5132.0
630,11997,Gig Harbor,10717.0
631,12007,Gilbert,254114.0
632,12009,Gilbertsville,5438.0
633,12094,Glasgow,626410.0
634,12098,Glassboro,20288.0
635,12100,Glastonbury,34564.0
636,12107,Glen Allen,15488.0
637,12108,Glen Burnie,69872.0
638,12111,Glen Ellyn,27714.0
639,12120,Glendale,252381.0
640,12121,Glendale Heights,33617.0
641,12123,Glendora,51544.0
642,12129,Glennville,5020.0
643,12134,Glens Falls,63499.0
644,12139,Glenview,47308.0
645,12154,Gloucester,145563.0
646,12157,Gloversville,27512.0
647,12220,Gold Coast,638090.0
648,12225,Golden,20767.0
649,12232,Goldsboro,57278.0
650,12246,Goma,249862.0
651,12275,Goodyear,86840.0
652,12341,Gothenburg,604829.0
653,12416,Granbury,37996.0
654,12420,Grand Forks,64748.0
655,12421,Grand Haven,11047.0
656,12423,Grand Junction,139143.0
657,12425,Grand Prairie,194543.0
